Departamento,2020,2021.0,2022.0,2023.0,2024.0,nan,categoria,cuadro
Total,6350,8153.0,7924.0,8218.0,8401.0,,hechos,1
Guatemala,2676,3450.0,3387.0,3457.0,3408.0,,hechos,1
El Progreso,124,170.0,147.0,173.0,182.0,,hechos,1
Sacatepéquez,202,270.0,325.0,325.0,366.0,,hechos,1
Chimaltenango,229,297.0,297.0,300.0,299.0,,hechos,1
Escuintla,440,615.0,695.0,930.0,1123.0,,hechos,1
Santa Rosa,197,238.0,231.0,272.0,233.0,,hechos,1
Sololá,81,109.0,68.0,72.0,73.0,,hechos,1
Totonicapán,49,77.0,82.0,40.0,49.0,,hechos,1
Quetzaltenango,197,253.0,239.0,232.0,218.0,,hechos,1
Suchitepéquez,201,229.0,215.0,187.0,194.0,,hechos,1
Retalhuleu,203,222.0,216.0,198.0,176.0,,hechos,1
San Marcos,147,182.0,138.0,178.0,144.0,,hechos,1
Huehuetenango,113,141.0,118.0,126.0,128.0,,hechos,1
Quiché,106,186.0,160.0,129.0,153.0,,hechos,1
Baja Verapaz,96,137.0,145.0,145.0,172.0,,hechos,1
Alta Verapaz,296,380.0,355.0,356.0,364.0,,hechos,1
Petén,206,266.0,226.0,256.0,268.0,,hechos,1
Izabal,230,237.0,233.0,244.0,271.0,,hechos,1
Zacapa,141,154.0,146.0,142.0,120.0,,hechos,1
Chiquimula,130,166.0,135.0,112.0,124.0,,hechos,1
Jalapa,121,146.0,127.0,118.0,108.0,,hechos,1
Jutiapa,165,228.0,239.0,226.0,228.0,,hechos,1
