Tipo de vehículo,nan,Tipo de accidente,Atropello,Derrape,Choque,Vuelco,Embarrancó,Encunetó,Caída,Ignorado,nan,nan,categoria,cuadro
Total,13045,9087,2073,1219,437,144,78,3,1,3,,,vehiculos,18
Motocicleta,6462,4397,697,1172,175,4,17,0,0,0,,,vehiculos,18
Automóvil,2443,1657,640,12,93,27,13,1,0,0,,,vehiculos,18
Pick Up,1108,844,164,6,44,32,16,2,0,0,,   ,vehiculos,18
Camioneta,978,799,114,3,34,17,11,0,0,0,,,vehiculos,18
Camión,664,495,99,4,38,24,4,0,0,0,,,vehiculos,18
Cabezal,469,390,49,2,16,10,2,0,0,0,,,vehiculos,18
Bus Urbano,281,186,58,1,9,17,9,0,1,0,,,vehiculos,18
Microbús,157,121,19,2,9,4,2,0,0,0,,,vehiculos,18
Moto Taxi,116,76,18,6,9,7,0,0,0,0,,,vehiculos,18
Panel,49,35,6,0,6,0,2,0,0,0,,,vehiculos,18
Cuatrimoto,42,28,7,3,3,1,0,0,0,0,,,vehiculos,18
Tractor,9,7,2,0,0,0,0,0,0,0,,,vehiculos,18
Bus Extraurbano,8,5,2,1,0,0,0,0,0,0,,,vehiculos,18
Jeep,7,5,2,0,0,0,0,0,0,0,,,vehiculos,18
Bicicleta,4,1,3,0,0,0,0,0,0,0,,,vehiculos,18
Montacargas,1,0,1,0,0,0,0,0,0,0,,,vehiculos,18
Taxi,1,0,1,0,0,0,0,0,0,0,,,vehiculos,18
Ignorado,246,41,191,7,1,1,2,0,0,3,,,vehiculos,18
